"genesysId","datasetId","value"
"263308","1038","39"
"390360","1038","43"
"263343","1038","43"
"485854","1038","43"
"263346","1038","43"
"390341","1038","44"
"390368","1038","45"
"390369","1038","45"
"390373","1038","45"
"136004","1038","46"
"485843","1038","47"
"390364","1038","47"
"263344","1038","47"
"390370","1038","47"
"263317","1038","49"
"390344","1038","49"
"390347","1038","49"
"485850","1038","49"
"263349","1038","49"
"485860","1038","49"
"263309","1038","50"
"135992","1038","50"
"485862","1038","50"
"263351","1038","50"
"136001","1038","51"
"263328","1038","51"
"485840","1038","51"
"390359","1038","51"
"136020","1038","51"
"390361","1038","51"
"263342","1038","51"
"136022","1038","51"
"263348","1038","51"
"136023","1038","51"
"485852","1038","52"
"263353","1038","52"
"263310","1038","53"
"485824","1038","53"
"485825","1038","53"
"485826","1038","53"
"485827","1038","53"
"135993","1038","53"
"135994","1038","53"
"263315","1038","53"
"390335","1038","53"
"263322","1038","53"
"136002","1038","53"
"263323","1038","53"
"263324","1038","53"
"263325","1038","53"
"136009","1038","53"
"263330","1038","53"
"485848","1038","55"
"136019","1038","55"
"263340","1038","55"
"485855","1038","55"
"390366","1038","55"
"390367","1038","55"
"390339","1038","56"
"136008","1038","56"
"390343","1038","56"
"390345","1038","56"
"263331","1038","56"
"263334","1038","56"
"390372","1038","56"
"136028","1038","56"
"263352","1038","56"
"390379","1038","56"
"263338","1038","57"
"390355","1038","57"
"390357","1038","57"
"263311","1038","58"
"390324","1038","58"
"390336","1038","58"
"390340","1038","58"
"136011","1038","58"
"136012","1038","58"
"485839","1038","58"
"485841","1038","58"
"263332","1038","58"
"263333","1038","59"
"390350","1038","59"
"263337","1038","59"
"390358","1038","59"
"136018","1038","59"
"263347","1038","59"
"485857","1038","59"
"390371","1038","59"
"485858","1038","59"
"136027","1038","59"
"390375","1038","59"
"390376","1038","59"
"485828","1038","60"
"263314","1038","60"
"390328","1038","60"
"263329","1038","60"
"485837","1038","61"
"390337","1038","61"
"263326","1038","61"
"136013","1038","62"
"485842","1038","62"
"390352","1038","62"
"263336","1038","62"
"263339","1038","62"
"390353","1038","62"
"390363","1038","62"
"390365","1038","62"
"136021","1038","62"
"136025","1038","62"
"390377","1038","62"
"485863","1038","62"
"390326","1038","63"
"135998","1038","63"
"390349","1038","64"
"485859","1038","64"
"263318","1038","65"
"136000","1038","65"
"136005","1038","65"
"263327","1038","65"
"136015","1038","66"
"485851","1038","66"
"136026","1038","66"
"135995","1038","67"
"263320","1038","67"
"390334","1038","67"
"136006","1038","67"
"485846","1038","69"
"390354","1038","69"
"136024","1038","69"
"485861","1038","69"
"390374","1038","69"
"390378","1038","69"
"390325","1038","70"
"263316","1038","70"
"135996","1038","70"
"485833","1038","70"
"390330","1038","70"
"390342","1038","70"
"485829","1038","72"
"485831","1038","72"
"485832","1038","72"
"135999","1038","73"
"485838","1038","73"
"263350","1038","73"
"263312","1038","74"
"263319","1038","74"
"263321","1038","74"
"485834","1038","77"
"390331","1038","77"
"390332","1038","77"
"136017","1038","77"
"485844","1038","77"
"390329","1038","79"
"263335","1038","79"
"136016","1038","83"
"485830","1038","85"
"390351","1038","85"
"390333","1038","87"
"152123","1038","41"
"152078","1038","42"
"24169","1038","42"
"279324","1038","42"
"279369","1038","42"
"279323","1038","44"
"152079","1038","44"
"406316","1038","45"
"152116","1038","45"
"279373","1038","45"
"152077","1038","46"
"152080","1038","46"
"279329","1038","46"
"279355","1038","47"
"24196","1038","47"
"279360","1038","47"
"24172","1038","49"
"152082","1038","49"
"24179","1038","49"
"24181","1038","49"
"152091","1038","49"
"152094","1038","49"
"152096","1038","49"
"279359","1038","49"
"24198","1038","49"
"406321","1038","49"
"24203","1038","49"
"406322","1038","49"
"279368","1038","49"
"279370","1038","49"
"24204","1038","49"
"406323","1038","49"
"24202","1038","50"
"279374","1038","50"
"279325","1038","51"
"279326","1038","51"
"279338","1038","51"
"152098","1038","51"
"152108","1038","51"
"406313","1038","51"
"152109","1038","51"
"152118","1038","51"
"406319","1038","51"
"279367","1038","51"
"152111","1038","52"
"279361","1038","52"
"24170","1038","53"
"279334","1038","53"
"24180","1038","53"
"406297","1038","53"
"152092","1038","53"
"152110","1038","55"
"152112","1038","55"
"279363","1038","55"
"152114","1038","55"
"152115","1038","55"
"281462","1038","55"
"406286","1038","56"
"152081","1038","56"
"406295","1038","56"
"279337","1038","56"
"24185","1038","56"
"24187","1038","56"
"24188","1038","56"
"406309","1038","56"
"24200","1038","56"
"279365","1038","56"
"24201","1038","56"
"406318","1038","56"
"279366","1038","56"
"24205","1038","56"
"279376","1038","56"
"24206","1038","56"
"279377","1038","56"
"152103","1038","57"
"279351","1038","57"
"279352","1038","57"
"279357","1038","57"
"279362","1038","57"
"152119","1038","57"
"279375","1038","57"
"406289","1038","58"
"152085","1038","58"
"279336","1038","58"
"279339","1038","58"
"279340","1038","58"
"406301","1038","58"
"406302","1038","58"
"152097","1038","58"
"279364","1038","59"
"152125","1038","59"
"406290","1038","60"
"279330","1038","60"
"279335","1038","61"
"24182","1038","61"
"24183","1038","61"
