"genesysId","datasetId","value"
"390376","1038","70.00"
"263310","1038","76.00"
"485824","1038","76.00"
"485850","1038","100.00"
"136028","1038","104.00"
"390375","1038","111.00"
"263351","1038","112.00"
"263342","1038","113.00"
"136018","1038","126.00"
"136008","1038","128.00"
"263308","1038","134.00"
"135992","1038","137.00"
"136012","1038","137.00"
"136004","1038","140.00"
"263340","1038","140.00"
"390366","1038","140.00"
"390369","1038","142.00"
"390368","1038","144.00"
"263320","1038","145.00"
"485854","1038","145.00"
"390373","1038","145.00"
"390341","1038","150.00"
"390357","1038","150.00"
"263344","1038","150.00"
"136027","1038","153.00"
"390347","1038","154.00"
"485848","1038","154.00"
"390358","1038","155.00"
"485840","1038","157.00"
"263322","1038","158.00"
"390340","1038","160.00"
"136009","1038","160.00"
"136013","1038","160.00"
"390355","1038","164.00"
"136020","1038","164.00"
"485829","1038","165.00"
"485838","1038","165.00"
"263353","1038","165.00"
"390335","1038","166.00"
"485855","1038","168.00"
"485828","1038","170.00"
"263325","1038","170.00"
"485839","1038","170.00"
"136022","1038","170.00"
"485860","1038","170.00"
"390379","1038","170.00"
"485862","1038","171.00"
"136021","1038","175.00"
"263350","1038","176.00"
"485852","1038","177.00"
"390334","1038","180.00"
"485837","1038","180.00"
"485841","1038","180.00"
"390361","1038","180.00"
"263331","1038","184.00"
"263346","1038","186.00"
"263311","1038","187.00"
"485826","1038","188.00"
"136006","1038","190.00"
"263326","1038","190.00"
"263330","1038","190.00"
"485843","1038","190.00"
"390359","1038","190.00"
"390360","1038","190.00"
"263343","1038","190.00"
"263352","1038","190.00"
"136019","1038","194.00"
"485851","1038","195.00"
"485861","1038","195.00"
"390377","1038","195.00"
"263317","1038","196.00"
"485863","1038","196.00"
"136025","1038","197.00"
"390344","1038","200.00"
"485842","1038","200.00"
"136023","1038","200.00"
"136024","1038","204.00"
"390336","1038","206.00"
"390342","1038","206.00"
"390345","1038","206.00"
"135998","1038","208.00"
"135993","1038","210.00"
"390328","1038","210.00"
"136002","1038","210.00"
"136005","1038","210.00"
"263338","1038","210.00"
"390365","1038","210.00"
"263348","1038","210.00"
"263324","1038","212.00"
"390364","1038","212.00"
"263332","1038","213.00"
"263336","1038","213.00"
"390367","1038","214.00"
"263333","1038","215.00"
"263309","1038","218.00"
"485825","1038","220.00"
"136001","1038","220.00"
"263323","1038","220.00"
"390350","1038","220.00"
"263334","1038","220.00"
"390370","1038","220.00"
"263349","1038","220.00"
"136026","1038","220.00"
"263312","1038","225.00"
"263329","1038","226.00"
"390374","1038","228.00"
"485827","1038","230.00"
"390339","1038","230.00"
"485846","1038","230.00"
"263337","1038","230.00"
"390372","1038","232.00"
"390363","1038","236.00"
"136000","1038","238.00"
"135994","1038","240.00"
"390326","1038","240.00"
"390329","1038","240.00"
"390337","1038","240.00"
"390343","1038","240.00"
"136011","1038","240.00"
"390371","1038","243.00"
"135999","1038","245.00"
"390354","1038","246.00"
"390330","1038","250.00"
"263328","1038","250.00"
"485857","1038","250.00"
"485858","1038","250.00"
"390325","1038","252.00"
"263327","1038","253.00"
"263347","1038","260.00"
"390332","1038","262.00"
"390353","1038","270.00"
"390349","1038","277.00"
"390324","1038","280.00"
"263315","1038","280.00"
"485832","1038","280.00"
"136017","1038","280.00"
"263316","1038","286.00"
"263321","1038","286.00"
"263319","1038","290.00"
"390331","1038","290.00"
"390352","1038","290.00"
"485833","1038","294.00"
"263339","1038","295.00"
"135995","1038","296.00"
"485859","1038","296.00"
"485834","1038","300.00"
"136015","1038","306.00"
"263314","1038","310.00"
"135996","1038","313.00"
"263318","1038","320.00"
"390378","1038","320.00"
"136016","1038","340.00"
"485830","1038","350.00"
"390333","1038","360.00"
"263335","1038","364.00"
"485831","1038","370.00"
"485844","1038","370.00"
"390351","1038","390.00"
"24172","1038","63.00"
"24205","1038","68.00"
"279326","1038","75.00"
"406313","1038","78.00"
"152123","1038","85.00"
"24170","1038","92.00"
"279325","1038","92.00"
"279374","1038","105.00"
"152082","1038","106.00"
"152080","1038","110.00"
"279357","1038","113.00"
"406314","1038","113.00"
"279324","1038","117.00"
"279329","1038","120.00"
"279368","1038","125.00"
"279377","1038","125.00"
"279373","1038","130.00"
"152091","1038","132.00"
"152081","1038","135.00"
"406322","1038","137.00"
"406286","1038","140.00"
"406316","1038","148.00"
"279355","1038","150.00"
"152109","1038","150.00"
"279370","1038","150.00"
"279369","1038","154.00"
"152115","1038","155.00"
"24203","1038","156.00"
"279330","1038","160.00"
"279331","1038","160.00"
"152096","1038","160.00"
"152077","1038","164.00"
"279375","1038","164.00"
"279323","1038","166.00"
"24186","1038","166.00"
"279359","1038","168.00"
"152078","1038","169.00"
"152100","1038","170.00"
"406319","1038","170.00"
"406323","1038","170.00"
"152079","1038","175.00"
"24206","1038","175.00"
"152097","1038","176.00"
"24169","1038","178.00"
"279339","1038","180.00"
"279340","1038","180.00"
"152089","1038","182.00"
"406297","1038","184.00"
"152108","1038","187.00"
"152092","1038","188.00"
"406288","1038","190.00"
"152098","1038","190.00"
"279361","1038","190.00"
"152114","1038","190.00"
"152112","1038","191.00"
"24181","1038","192.00"
"152101","1038","192.00"
"279364","1038","192.00"
"152116","1038","192.00"
