"genesysId","instCode","acceNumb","genus"
"8236","USA016","Grif 617","Sorghum"
"8327","USA016","PI 585334","Sorghum"
"8347","USA016","PI 586056","Sorghum"
"8356","USA016","PI 586433","Sorghum"
"8357","USA016","PI 586528","Sorghum"
"8865","USA016","PI 179053","Sorghum"
"8938","USA016","PI 196586","Sorghum"
"8975","USA016","PI 214346","Sorghum"
"9079","USA016","PI 266953","Sorghum"
"9080","USA016","PI 266960","Sorghum"
"9081","USA016","PI 267108","Sorghum"
"9083","USA016","PI 267379","Sorghum"
"9147","USA016","PI 284992","Sorghum"
"9176","USA016","PI 291378","Sorghum"
"9177","USA016","PI 291382","Sorghum"
"9194","USA016","PI 302257","Sorghum"
"9220","USA016","PI 308215","Sorghum"
"9226","USA016","PI 308436","Sorghum"
"9228","USA016","PI 308486","Sorghum"
"9399","USA016","PI 391654","Sorghum"
"9423","USA016","PI 420931","Sorghum"
"9718","USA016","PI 475053","Sorghum"
"9720","USA016","PI 475157","Sorghum"
"9721","USA016","PI 475163","Sorghum"
"9724","USA016","PI 475317","Sorghum"
"9726","USA016","PI 475393","Sorghum"
"9727","USA016","PI 475429","Sorghum"
"9756","USA016","PI 482938","Sorghum"
"9808","USA016","PI 499328","Sorghum"
"9861","USA016","PI 511011","Sorghum"
"9862","USA016","PI 511014","Sorghum"
"9877","USA016","PI 511792","Sorghum"
"9878","USA016","PI 511795","Sorghum"
"9879","USA016","PI 511834","Sorghum"
"9899","USA016","PI 513645","Sorghum"
"10006","USA016","PI 526622","Sorghum"
"10008","USA016","PI 526644","Sorghum"
"10012","USA016","PI 526681","Sorghum"
"10013","USA016","PI 526780","Sorghum"
"10022","USA016","PI 527126","Sorghum"
"10026","USA016","PI 527429","Sorghum"
"10103","USA016","PI 533616","Sorghum"
"10104","USA016","PI 533785","Sorghum"
"10108","USA016","PI 533917","Sorghum"
"10112","USA016","PI 534042","Sorghum"
"10113","USA016","PI 534049","Sorghum"
"10115","USA016","PI 534146","Sorghum"
"10116","USA016","PI 534160","Sorghum"
"10119","USA016","PI 535776","Sorghum"
"10155","USA016","PI 540513","Sorghum"
"10156","USA016","PI 540800","Sorghum"
"10160","USA016","PI 542717","Sorghum"
"10174","USA016","PI 547914","Sorghum"
"10175","USA016","PI 547943","Sorghum"
"10176","USA016","PI 547955","Sorghum"
"10177","USA016","PI 547963","Sorghum"
"10178","USA016","PI 547966","Sorghum"
"10179","USA016","PI 547967","Sorghum"
"10180","USA016","PI 548044","Sorghum"
"10184","USA016","PI 550805","Sorghum"
"10185","USA016","PI 550830","Sorghum"
"10186","USA016","PI 550865","Sorghum"
"10197","USA016","PI 555680","Sorghum"
"10216","USA016","PI 560421","Sorghum"
"10217","USA016","PI 560434","Sorghum"
"10219","USA016","PI 560499","Sorghum"
"10241","USA016","PI 562769","Sorghum"
"10242","USA016","PI 562771","Sorghum"
"10251","USA016","PI 563097","Sorghum"
"10258","USA016","PI 563401","Sorghum"
"10262","USA016","PI 563582","Sorghum"
"10263","USA016","PI 563605","Sorghum"
"10265","USA016","PI 563745","Sorghum"
"10267","USA016","PI 563820","Sorghum"
"10274","USA016","PI 567810","Sorghum"
"10276","USA016","PI 567963","Sorghum"
"10549","USA016","PI 599692","Sorghum"
"10550","USA016","PI 599708","Sorghum"
"10551","USA016","PI 599716","Sorghum"
"10552","USA016","PI 599724","Sorghum"
"10565","USA016","PI 599733","Sorghum"
"10569","USA016","PI 599820","Sorghum"
